obra,lugar,lugar_normalizado,Tipo,menciones,lng,lat,ID_Wikidata
Primera parte,Tajo,Tagus River,Accidente geográfico,1,-1.6975,40.3197,Q14294
Primera parte,Tetuán,Tetuán,"Continente, país, región, ciudad, pueblo",3,-3.7,40.460556,Q1773540
Primera parte,Toboso,El Toboso,"Continente, país, región, ciudad, pueblo",60,-2.998055556,39.51805556,Q1628505
Primera parte,Toledo,Toledo,"Continente, país, región, ciudad, pueblo",5,-4.033333333,39.86666667,Q5836
Primera parte,Toscana,Tuscany,"Continente, país, región, ciudad, pueblo",1,11.01666667,43.35,Q1273
Primera parte,Trapobana,Trapobana,"Continente, país, región, ciudad, pueblo",2,7,81,Q2002951
Primera parte,Troya,Troy,"Continente, país, región, ciudad, pueblo",1,26.23888889,39.9575,Q22647
Primera parte,Trujillo,Trujillo,"Continente, país, región, ciudad, pueblo",1,-5.878178184,39.45990279,Q324489
Primera parte,Túnez,Tunis,"Continente, país, región, ciudad, pueblo",3,10.18,36.80083333,Q3572
Primera parte,Úbeda,Úbeda,"Continente, país, región, ciudad, pueblo",1,-3.371666667,38.01166667,Q329984
Primera parte,Universidad de París,University of Paris,"Monumento, edificio, calle",1,2.343611111,48.84861111,Q209842
Primera parte,Utrique,Utrecht,"Continente, país, región, ciudad, pueblo",1,5.267192916,52.13856302,Q803
Primera parte,Valencia,Valencia,"Continente, país, región, ciudad, pueblo",5,-0.75,39.5,Q5720
Primera parte,Valladolid,Valladolid,"Continente, país, región, ciudad, pueblo",1,-4.728561111,41.65198056,Q8356
Primera parte,Valle de Terebinto,Valley of Elah,Accidente geográfico,1,34.99802,31.67542,Q862725
Primera parte,Vélez Málaga,Vélez-Málaga,"Continente, país, región, ciudad, pueblo",3,-4.0992542,36.7821366,Q492741
Primera parte,Venecia,Venice,"Continente, país, región, ciudad, pueblo",2,12.33194444,45.43972222,Q641
Primera parte,Ventillas de Toledo,Ventas de Toledo,"Monumento, edificio, calle",1,-4.018204216,39.86049183,X
Primera parte,Viso,Viso,"Continente, país, región, ciudad, pueblo",1,-4.955256342,38.48289958,Q879483
Primera parte,Zaragoza,Zaragoza,"Continente, país, región, ciudad, pueblo",1,-0.883333333,41.65,Q10305
